bstn,hostname,role,ip,root_ip,serialNumber,platform,model
DL-DEL-FR8,DL-DEL-FR8-C3-ST-CCE-U572-S01,CCE,100.73.16.72,100.73.16.72,21980105673GK1002652,VRP,s5720-12TP-LI-AC
DL-DEL-FW4,DL-DEL-FW4-C3-ST-CCE-U572-S01,CCE,100.73.16.73,100.73.16.73,21980105673GH8001226,VRP,s5720-12TP-LI-AC
DL-DEL-JY7,DL-DEL-JY7-C3-ST-CCE-U572-S01,CCE,100.73.16.8,100.73.16.8,21980105673GL9002609,VRP,s5720-12TP-LI-AC
DL-DEL-OI8,DL-DEL-OI8-C3-ST-CCE-UL8T-S01,CCE,100.73.16.9,100.73.16.9,21980105673GJ9000854,VRP,s5720-12TP-LI-AC
MH-PUN-M86,MH-PUN-M86-C3-ST-CCE-U572-S01,CCE,100.72.18.235,100.72.18.235,21980105673GK7002044,VRP,s5720-12TP-LI-AC
KL-TVM-A94,KL-TVM-A94-C3-ST-CCE-E12T-S01,CCE,100.72.67.147,100.72.67.147,EC2418002070,EdgeCOS,ECS4100-12T
WB-KNI-TNA,WB-KNI-TNA-B2-TT-MBS-US57-S01,MBS,100.71.206.146,100.71.206.146,21023538368YG1003148,VRP,s5700S-28P-LI-AC
WB-PGS-KKA,WB-PGS-KKA-B1-VM-MBS-US57-S01,MBS,100.71.206.162,100.71.206.162,210235383610F9000207,VRP,s5700S-28P-LI-AC
BR-HJR-HPT,BR-HJR-HPT-B2-TT-MBS-US57-S01,MBS,100.71.125.84,100.71.125.84,21023538368YF3006456,VRP,s5700S-28P-LI-AC
BR-HJR-HPT,BR-HJR-HPT-B2-TT-MLU-E28F-S01,MLU,100.71.125.82,100.71.125.82,null,EdgeCOS,ECS4120-28Fv2
BR-HJR-HPT,BR-HJR-HPT-B2-TT-MME-C45X-S01,MME,100.71.149.10,100.71.101.202,JAE19140045,XE,cat4500X16
KL-TVM-W04,KL-TVM-W04-C3-ST-CCE-E12T-S01,CCE,100.72.67.146,100.72.67.146,EC2405001035,EdgeCOS,ECS4100-12T
OR-BLS-BXI,OR-BLS-BXI-B3-IW-ABS-UL8T-S01,ABS,100.71.144.242,100.71.144.242,4E2160077897,VRP,S5735-L8T4S-A1
OR-BBS-BCB,OR-BBS-BCB-T2-ST-SEA-US57-S04,SEA,100.71.71.38,100.71.71.38,2102357675DMH1000066,VRP,s5701-28X-LI-AC
GJ-VDR-F98,GJ-VDR-F98-C3-ST-CCE-E12T-S01,CCE,100.71.144.83,100.71.144.83,EC2424004810,EdgeCOS,ECS4100-12T
GJ-AMD-V48,GJ-AMD-V48-C3-ST-CCE-E12T-S01,CCE,100.71.171.214,100.71.171.214,EC2424004675,EdgeCOS,ECS4100-12T
GJ-AMD-G84,GJ-AMD-G84-C3-ST-CCE-E12T-S01,CCE,100.71.171.217,100.71.171.217,EC2424004956,EdgeCOS,ECS4100-12T
OR-BLS-SXO,OR-BLS-SXO-B3-IW-ABS-US57-S01,ABS,100.72.67.90,100.72.67.90,21023538368YJ3001236,VRP,s5700S-28P-LI-AC
KA-MLR-M73,KA-MLR-M73-C3-ST-CCE-E12T-S01,CCE,100.67.95.40,100.67.95.40,EC2418002157,EdgeCOS,ECS4100-12T
TN-RMD-N02,TN-RMD-N02-C3-ST-CCE-E12T-S01,CCE,100.71.144.219,100.71.144.219,EC2418002171,EdgeCOS,ECS4100-12T
MH-KOL-Y27,MH-KOL-Y27-C3-ST-CCE-E12T-S01,CCE,100.71.135.230,100.71.135.230,EC2424004672,EdgeCOS,ECS4100-12T
UP-NDA-YWA,UP-NDA-YWA-B1-VM-MME-C54Q-R01,MME,100.73.23.208,null,NA,XR,ciscoN54024Z8Q2CM
UP-NDA-NOD,UP-NDA-NOD-B1-TT-MME-C54Q-R01,MME,100.73.23.209,null,NA,XR,ciscoN54024Z8Q2CM
UP-NDA-OND,UP-NDA-OND-B1-VM-MME-C54Q-R01,MME,100.73.23.210,null,NA,XR,ciscoN54024Z8Q2CM
TN-MDU-V04,TN-MDU-V04-C3-ST-CCE-E12T-S01,CCE,100.72.52.103,100.72.52.103,EC2418001957,EdgeCOS,ECS4100-12T
MH-MUM-J24,MH-MUM-J24-C3-ST-CCE-E12T-S01,CCE,100.71.24.169,100.71.24.169,EC2418001864,EdgeCOS,ECS4100-12T
HR-FRN-J54,HR-FRN-J54-C3-ST-CCE-E12T-S01,CCE,100.67.55.2,100.67.55.2,EC2424004704,EdgeCOS,ECS4100-12T
JH-RNC-G23,JH-RNC-G23-C3-ST-CCE-E12T-S01,CCE,100.72.40.44,100.72.40.44,EC2422001313,EdgeCOS,ECS4100-12T
PB-LUD-S61,PB-LUD-S61-C3-ST-CCE-E12T-S01,CCE,100.72.52.86,100.72.52.86,EC2428000379,EdgeCOS,ECS4100-12T
OR-ASK-UC8,OR-ASK-UC8-C3-ST-CCE-E12T-S01,CCE,100.71.144.52,100.71.144.52,EC2316000428,EdgeCOS,ECS4100-12T
PB-MLI-PHO,PB-MLI-PHO-B2-TV-ABS-US57-S01,ABS,100.71.217.26,100.71.217.18,21023538368YJ1002510,VRP,s5700S-28P-LI-AC
PB-MLI-PHO,PB-MLI-PHO-B2-TV-ABS-E28F-S02,ABS,100.71.217.27,100.71.217.27,null,EdgeCOS,ECS4120-28Fv2
CH-CGH-N59,CH-CGH-N59-C3-ST-CCE-UL8T-S01,CCE,100.71.51.207,100.71.51.207,2S21A0011494,VRP,S5735-L8T4S-A1
PB-LUD-H06,PB-LUD-H06-C3-ST-CCE-UL8T-S01,CCE,100.72.52.203,100.72.52.203,2S2230003439,VRP,S5735-L8T4S-A1
PB-LUD-F58,PB-LUD-F58-C3-ST-CCE-UL8T-S01,CCE,100.72.52.204,100.72.52.204,2S21A0011553,VRP,S5735-L8T4S-A1
TS-HYD-E22,TS-HYD-E22-C3-ST-CCE-E12T-S01,CCE,100.127.249.142,100.127.249.142,EC2404005482,EdgeCOS,ECS4100-12T
MH-KOL-C03,MH-KOL-C03-C3-ST-CCE-E12T-S01,CCE,100.71.135.229,100.71.135.229,EC2408000436,EdgeCOS,ECS4100-12T
