x_sitl_telco_sify_u_lms_id,x_sitl_telco_sify_u_aconnectinginterface,x_sitl_telco_sify_u_zconnectinginterface,x_sitl_telco_sify_u_a_device,x_sitl_telco_sify_u_z_device,x_sitl_telco_sify_u_link_status,u_provider_circuit_id,x_sitl_telco_sify_u_circuit_id,x_sitl_telco_sify_u_bandwidth,u_bandwidth_units,sys_class_name,x_sitl_telco_sify_u_vendor_name,u_a_pop,u_z_pop,x_sitl_telco_sify_u_total_distance,x_sitl_telco_sify_u_link_description
20584,,,,,Active,20584,20584,,,Sify_DataLinks_Fiber,INTECH INFRATEL PVT LTD,,,4.5,
22688,GigabitEthernet0/0/25,GigabitEthernet0/0/27,100.70.218.195,100.70.218.194,Active,NA,NA,,,Sify_DataLinks_Fiber,VD COMMUNICATION SERVICE,GJ-AND-HND,GJ-AND-VRB,5.3,
22933,GigabitEthernet0/0/27,GigabitEthernet0/0/25,100.71.18.11,100.71.18.10,Active,22933,22933,,,Sify_DataLinks_Fiber,DINESH ENGINEERS LTD,MH-VIR-BQV,MH-VSI-VNY,19,
23003,GigabitEthernet0/0/26,,100.70.122.172,,Active,RK Mall to Hirapur - ANCHOR,RK Mall to Hirapur - ANCHOR,,,Sify_DataLinks_Fiber,ANCHOR COMMUNICATION,CG-RPR-HHI,,4.488,
23112,,,,,Active,23112,23112,,,Sify_DataLinks_Fiber,DINESH ENGINEERS LTD,,,7,
23113,,,,,Active,23113,23113,,,Sify_DataLinks_Fiber,SAITECH TELECOM PRIVATE LIMITED,,,17.5,
23371,XGigabitEthernet0/0/4,,100.71.46.234,,Active,Urla-Rawanbhata-ANCHOR,Urla-Rawanbhata-ANCHOR,,,Sify_DataLinks_Fiber,ANCHOR COMMUNICATION,CG-RPR-UTC,,6.055,
25664,XGigabitEthernet0/0/1,GigabitEthernet0/0/25,100.70.225.190,100.70.225.187,Active,25664,25664,,,Sify_DataLinks_Fiber,UCN CABLE NETWORK PVT LTD,MH-NGP-HCX,MH-NGP-CBW,15,
24432,,,,,Active,24432,24432,,,Sify_DataLinks_Fiber,DINESH ENGINEERS LTD,,,11.209,
24463,,,,,Active,24463,24463,,,Sify_DataLinks_Fiber,SAITECH TELECOM PRIVATE LIMITED,,,10.2,
24470,GigabitEthernet0/0/27,,100.70.143.106,,Active,Anchor-Paryawas Bhawan - Idgah Hills,Anchor-Paryawas Bhawan - Idgah Hills,,,Sify_DataLinks_Fiber,ANCHOR COMMUNICATION,MP-BPL-PYV,,9.8,
24659,,,,,Active,Dewas Viom to Dewas Rajaram - RS NETWORK,Dewas Viom to Dewas Rajaram - RS NETWORK,,,Sify_DataLinks_Fiber,RS NETWORK SOLUTION,,,13,
24738,,,100.65.169.83,,Active,24738,24738,,,Sify_DataLinks_Fiber,SHYAM INFRATEL PRIVATE LIMITED,GJ-JMN-SXJ,,1.8,
25065,TenGigabitEthernet1/2,TenGigabitEthernet1/1,100.71.153.51,100.71.153.52,Active,Crystal-MRS-RS Network,Crystal-MRS-RS Network,,,Sify_DataLinks_Fiber,RS NETWORK SOLUTION,MP-IND-MQR,MP-IND-CYI,2.0159,
25398,ethernet1/1,,100.71.96.114,,Active,25398,25398,,,Sify_DataLinks_Fiber,TIRUPATI GLOBAL INFOSYS,MH-MUM-BXS,,1.9,
8959,,,,,Active,,,,,Sify_DataLinks_Fiber,TOJO INFRATEL,,,1.5,
7920,TwentyFiveGigE2/0/2,GigabitEthernet1/0/2,100.71.89.10,210.18.250.114,Active,,,,,Sify_DataLinks_Fiber,ORANGE INFOCOM PVT LTD,MH-NGP-PLC,MH-NGP-LOK,4.7,
20308,GigabitEthernet0/0/27,GigabitEthernet0/0/27,119.227.194.211,100.67.65.210,Active,20308,20308,,,Sify_DataLinks_Fiber,NETTECH SOLUTIONS,MH-AHM-AHN,MH-AHM-SEV,5.354,
